college_code,college_name,avg_percentile,avg_rank,percentile_std,rank_std,data_points,stability_score,cluster
3470,YASHWANTRAO BHONSALE INSTITUTE OF TECHNOLOGY,44.734490445,139737.2,24.874675130931564,45490.714538475346,20,0.03864782823126395,7
3471,"New Horizon Institute of Technology & Management, Thane",66.25353690238096,92606.21428571429,25.764588814696328,50321.54433219783,42,0.037362800785899014,3
3475,"A. P. Shah Institute of Technology, Thane",55.93288438260869,104646.91304347826,38.70866696938959,77538.37407310773,23,0.025183419044786236,3
3477,"Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",55.613379521739134,116397.21739130435,27.50364014316753,51202.89227089753,23,0.035083238315429865,3
3503,"Indala College Of Engineering, Bapsai Tal.Kalyan",64.14683039090909,105329.18181818182,12.66132910008999,27507.143388471646,22,0.07319931996905138,6
3546,Devi Mahalaxmi College of Engineering and Technology,47.5947494,140762.0,13.195334669055201,26485.488190076216,4,0.07044567974715858,6
3723,Navjeevan Education Society's College of Engineering,55.56445950952381,121508.52380952382,19.220910393738635,38895.53324434446,21,0.04945375754741725,6
3724,Thakur Shree DPS College of Engineering & Management,75.263553085,76122.15,13.318536687372946,34126.22732132637,20,0.0698395389021748,0
3725,"MAEER's Maharashtra Institute of Technology, Thane",61.19544042222222,102085.05555555556,29.579959896919508,59191.381844351214,18,0.032701154722597776,3
3726,Imperial College of Engineering,41.95735062758621,148319.7931034483,17.821480737587805,31412.041778113544,29,0.05313078253205288,6
4004,"Government College of Engineering, Chandrapur",66.3394933245283,92829.88679245283,24.48126986918281,52890.59874934165,53,0.039244511954618304,3
4025,"Government College of Engineering, Nagpur",76.86251392127659,68509.74468085106,19.0525943955157,46655.98871922208,47,0.04986885887561895,0
4104,"Kavi Kulguru Institute of Technology & Science, Ramtek",50.968764658360655,130770.1344262295,19.169759079032556,36646.74877944265,305,0.049579174251989384,5
4116,"Ankush Shikshan Sanstha's G.H.Raisoni College of Engineering, Nagpur",76.0740109116129,69802.57419354838,20.678309497743644,46087.10394966104,155,0.04612905817698025,0
4118,"Bapurao Deshmukh College of Engineering, Sevagram",32.169065857894736,164238.36842105264,18.298916117966517,26800.312730784248,19,0.051816381494556585,1
4123,"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",67.8153374120603,90040.08542713568,22.946535666899013,48222.03726835737,199,0.041759693924423774,0
4133,"Sanmarg Shikshan Sanstha's Smt. Radhikatai Pandav College of Engineering, Nagpur",34.27522284339623,161098.81132075473,17.182780016894515,26924.48179992486,53,0.05499709060280391,1
4134,"Guru Nanak Institute of Engineering & Technology,Kalmeshwar, Nagpur",45.23409992553192,140798.085106383,21.641570208629137,37460.27978715228,47,0.04416654811417985,7
4135,"Amar Seva Mandal's Shree Govindrao Vanjari College of Engineering & Technology, Nagpur",33.08682669555556,165732.55555555556,16.958596875980284,25228.73970706961,45,0.055683637586269624,1
4137,"Sir Shantilal Badjate Charitable Trust's S. B. Jain Institute of technology, Management & Research, Nagpur",64.30720894117647,97715.36274509804,25.549414379750335,48553.23660261883,102,0.03766561422773664,3
4138,"Jaidev Education Society, J D College of Engineering and Management, Nagpur",52.11428196643836,127709.25342465754,21.32704216421329,36816.38715194011,146,0.044788736127476914,6
4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute of Technology, Nagpur",57.765774549,118247.53,16.377605678734103,32345.727374148293,100,0.05754532692750377,6
4142,"G H Raisoni College of Engineering & Management, Nagpur",70.1564515037037,85267.84444444445,21.560345530771343,46786.29001758901,135,0.04432556224088159,0
4143,"Sanmarg Shikshan Sanstha, Mandukarrao Pandav College of Engineering, Bhandara",30.293380066666664,166968.88888888888,17.76548982011523,26952.98424778064,9,0.05328930976947232,1
4144,"Shri. Sai Shikshan Sanstha, Nagpur Institute of Technology, Nagpur",46.67674933243243,139362.5945945946,18.91484858236319,34308.03799521449,37,0.05021378876491238,6
4145,"Wainganga College of Engineering and Management, Dongargaon, Nagpur",45.8243434986523,142282.99460916442,15.851799398467113,27604.19827441005,371,0.05934084404606446,5
4147,"K.D.K. College of Engineering, Nagpur",58.78057637853403,114192.34293193718,19.77739557481229,38522.59624089875,382,0.0481292275732703,5
4151,"Tulsiramji Gaikwad Patil College of Engineering & Technology, Nagpur",52.93475394615384,125095.5676923077,21.12821045211221,41657.41986702598,650,0.04519118263829359,5
4163,Rajiv Gandhi College of Engineering Research & Technology Chandrapur,40.91062559512195,148496.48780487804,21.40393441700225,35760.72666286435,41,0.044635017287012954,7
4167,"Yeshwantrao Chavan College of Engineering,Wanadongri, Nagpur",77.86916297424483,65583.00317965024,19.048444656351183,44662.35893248366,629,0.049879181010842565,5
4172,"Anjuman College of Engineering & Technology, Nagpur",46.740238995,134484.75,27.133082725969665,48633.31148381301,20,0.03554534032905322,3
4174,"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",79.24140679333333,64246.183333333334,14.714709123597794,32353.460720942487,120,0.06363464904981045,4
4175,"JMSS Shri Shankarprasad Agnihotri College of Engineering, Wardha",41.55473114285714,148608.2380952381,19.006269769918283,31539.99635527049,21,0.049984330487416226,6
4177,"Priyadarshini Bhagwati College of Engineering, Harpur Nagar, Umred Road,Nagpur",58.71602717076923,110554.21538461538,24.872859584505925,45768.82688132594,130,0.0386505402208751,3
4181,"Swaminarayan Siddhanta Institute Of Technology, Nagpur",22.993736592,178572.32,12.901284238278414,16694.71352883901,25,0.07193579980520157,1
4188,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",38.94262284827586,144184.72413793104,24.518394768311563,42277.03396213443,29,0.039187417903017475,7
4190,"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Bhadrawati",29.9664731,167935.25,18.352069160973024,24873.69356535803,4,0.051674060881132154,1
4192,"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",38.31216173666667,156016.86666666667,13.410708325029239,22297.97084123983,30,0.06939284159010768,1
4193,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",29.695236827500004,166445.2125,21.167727261128228,32746.88925131387,80,0.04511062357545015,7
4196,"Gurunanak Educational Society's Gurunanak Institute of Technology, Nagpur",46.65040379444444,139033.80555555556,19.64678436294678,35647.49131531414,36,0.04843369226031267,6
4197,"Jai Mahakali Shikshan Sanstha, Agnihotri College of Engineering, Sindhi(Meghe)",18.26279165,185271.5,11.182604562691658,13925.510607035805,4,0.08208425340033013,1
4302,"Gondia Education Society's Manoharbhai Patel Institute Of Engineering & Technology, Shahapur, Bhandara",65.24663836666667,103477.33333333333,11.269582345364869,27302.654712194806,3,0.08150236673522747,6
4304,"Cummins College of Engineering For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur",70.84626233636364,85603.13636363637,18.372879569756314,42388.66047636467,22,0.051618552440760294,0
4613,"Suryodaya College of Engineering & Technology, Nagpur",47.8186386492248,136914.8023255814,19.628795159060473,33809.84719662052,258,0.04847592854014962,6
4648,"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",27.40390032727273,171183.18181818182,17.595882410906516,25767.368588267535,11,0.053775345418053316,1
4649,"Bajaj Institute of Technology, Wardha",46.362981554545456,132808.27272727274,31.764554319886077,52772.42124839623,11,0.030520787502153247,3
4679,"Karanjekar College of Engineering & Management, Sakoli",34.38366651818182,158116.72727272726,23.880082180730792,37478.587441607,11,0.04019279328484225,7
4703,"Somayya Institute of Technology, Chandrapur",29.147998673684214,166344.7894736842,21.702314383189385,39610.67525803696,19,0.04404837247520809,7
5003,"University Institute of Chemical Technology, North Maharashtra University, Jalgaon",51.639320831818175,93238.77272727272,30.035502651282577,47877.156113509045,22,0.032221163331429846,3
5004,"Government College of Engineering, Jalgaon",69.2760392257703,89078.7030812325,19.34465915193296,42104.036076934135,357,0.049152949308811075,5
5103,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule",46.542865221568626,136902.01960784313,23.70970799772838,43330.27802010515,51,0.04046992380856675,7
5104,"Shramsadhana Bombay Trust, College of Engineering & Technology, Jalgaon",49.83186141904761,130366.04761904762,24.189459590751657,43984.566016458695,42,0.039699144652041336,7
5106,"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",35.21095872513089,158524.14659685863,19.682657801851164,32128.888880970742,191,0.048349685498857736,7
5108,"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",68.31012465521327,91090.72748815166,19.852888502091215,44158.32046891927,422,0.047954987142415105,5
5109,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik",62.35406731627908,107060.07513416816,17.655315717656176,36891.61146010536,559,0.05360402445794889,5
5121,"K. K. Wagh Institute of Engineering Education and Research, Nashik",81.38461903773987,57128.345415778254,15.743294725798807,39012.99173078651,469,0.05972540150411114,5
5124,"Jagadamba Education Soc. Nashik's S.N.D. College of Engineering & Reserch, Babulgaon",48.85907131463415,135455.24390243902,18.268714234029126,33312.12152338882,41,0.05189759876317902,6
